City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
275,Ganzhou,CN,28.8184,115.4327,54.48,44,0,3.09,clear sky
276,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,17.27,few clouds
277,Lompoc,US,34.6391,-120.4579,44.62,81,0,4.61,clear sky
278,Tessalit,ML,20.1986,1.0114,76.91,6,51,9.93,broken clouds
279,Cherskiy,RU,68.75,161.3,-4.13,100,99,4.27,overcast clouds
280,Araouane,ML,18.9048,-3.5265,76.69,6,31,11.61,scattered clouds
281,Grand Gaube,MU,-20.0064,57.6608,79.2,83,100,7.54,overcast clouds
282,Kovvur,IN,17.0167,81.7333,77.25,73,40,4.61,haze
283,Klaksvik,FO,62.2266,-6.589,41.92,86,95,31.47,light rain
284,Palmer,US,42.1584,-72.3287,37.51,54,75,16.11,broken clouds
285,Amuntai,ID,-2.4177,115.2494,74.7,98,100,1.59,overcast clouds
286,Sulangan,PH,11.1373,123.7228,78.85,85,65,15.73,broken clouds
287,Kargasok,RU,59.0556,80.8572,1.65,98,96,5.41,overcast clouds
288,Santa Marta,CO,11.2408,-74.199,84.25,70,20,8.05,few clouds
289,Saskylakh,RU,71.9167,114.0833,-36.65,98,91,4.52,overcast clouds
290,Carutapera,BR,-1.195,-46.02,85.37,63,63,6.55,moderate rain
291,Strasice,CZ,49.7355,13.7576,36.41,100,100,20.04,light snow
292,Farafangana,MG,-22.8167,47.8333,74.7,88,97,13.24,light rain
293,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,80.26,50,40,7.18,scattered clouds
294,Nouadhibou,MR,20.931,-17.0347,73.38,43,78,12.66,broken clouds
295,Ucluelet,CA,48.9329,-125.5528,40.08,90,100,1.01,overcast clouds
296,Severo-Yeniseyskiy,RU,60.3725,93.0408,-0.94,98,100,3.96,overcast clouds
297,Mareeba,AU,-17.0,145.4333,75.92,97,100,2.04,overcast clouds
298,Saint-Augustin,CA,51.226,-58.6502,9.07,78,97,8.68,overcast clouds
299,Lata,PT,40.1629,-8.3327,55.08,42,0,4.0,clear sky
300,Goure,NE,13.9835,10.2704,92.05,8,4,11.01,clear sky
301,Narrabri,AU,-30.3167,149.7833,68.52,95,26,1.01,scattered clouds
302,Hambantota,LK,6.1241,81.1185,77.67,84,100,4.63,light rain
303,Proletarsk,RU,46.7031,41.7192,38.98,74,100,7.27,overcast clouds
304,Simao,CN,22.7886,100.9748,56.01,73,0,2.59,clear sky
305,Rumoi,JP,43.9344,141.6428,23.38,78,100,7.23,light snow
